Constituency  :,1 . KALKA,,,,
1 .,L. SINGH,M,IND,12787,32.39%
2 .,K. LAL,M,INC,12086,30.62%
3 .,J. SINGH,M,IND,8508,21.55%
4 .,P. KUMAR,M,BJS,5974,15.13%
5 .,S. SINGH,M,IND,122,0.31%
ELECTORS :,54716 VOTERS  :,41210 POLL PERCENTAGE  :,75.32%,VALID VOTES :,39477
Constituency  :,2 . NARAINGARH,,,,
1 .,L. SINGH,M,INC,16691,45.35%
2 .,R. N. SARUP,M,BJS,8528,23.17%
3 .,N. LAL,M,RPI,6816,18.52%
4 .,S. RAM,M,SWA,2291,6.23%
5 .,G. SINGH,M,IND,1541,4.19%
6 .,B. PARSHAD,M,IND,936,2.54%
ELECTORS :,56067 VOTERS  :,39261 POLL PERCENTAGE  :,70.03%,VALID VOTES :,36803
Constituency  :,3 . CHHACHROLI (SC),,,,
1 .,R. PARKASH,M,INC,15525,42.48%
2 .,P. CHAND,M,IND,14605,39.97%
3 .,S. RAM,M,CPI,3312,9.06%
4 .,4. KISHORE,M,BJS,3101,8.49%
ELECTORS :,57364 VOTERS  :,39571 POLL PERCENTAGE  :,68.98%,VALID VOTES :,36543
Constituency  :,4 . JAGADHRI,,,,
1 .,D. PRAKASH,M,BJS,14665,41.12%
2 .,G. SINGH,M,INC,12856,36.05%
3 .,R. A. SINGH,M,SWA,3742,10.49%
4 .,T. DASS,M,IND,2740,7.68%
5 .,M. RAM,M,IND,1169,3.28%
6 .,S. CHAND,M,IND,338,0.95%
7 .,R. DASS,M,IND,154,0.43%
ELECTORS :,48041 VOTERS  :,37723 POLL PERCENTAGE  :,78.52%,VALID VOTES :,35664
Constituency  :,5 . YAMUNANAGAR,,,,
1 .,B. DAYAL,M,INC,22043,52.43%
2 .,R. LAL,M,BJS,15419,36.68%
3 .,J. GOPAL,M,PSP,4121,9.80%
4 .,A. CHANDER,M,IND,456,1.08%
ELECTORS :,57429 VOTERS  :,43569 POLL PERCENTAGE  :,75.87%,VALID VOTES :,42039
Constituency  :,6 . MULLANA (SC),,,,
1 .,R. PRASAD,M,RPI,16694,52.53%
2 .,S. RAM,M,INC,12321,38.77%
3 .,D. PAUL,M,SWA,1721,5.42%
4 .,A. RAM,M,IND,1041,3.28%
No.,CANDIDATE,SEX,,PARTY,VOTES,%
ELECTORS :,52219 VOTERS  : 33858,POLL PERCENTAGE  :,,64.84%,VALID VOTES :,31777
Constituency  :,7 . NAGGAL,,,,,
1 .,LAKHWATI,F,,INC,17494,54.32%
2 .,M. SINGH,M,,IND,12430,38.60%
3 .,H. SINGH,M,,IND,1196,3.71%
4 .,I. RAJ,M,,SWA,1084,3.37%
ELECTORS :,49071 VOTERS  : 34012,POLL PERCENTAGE  :,,69.31%,VALID VOTES :,32204
Constituency  :,8 . AMBALA CANTONMENT,,,,,
1 .,D. R. ANAND,M,,INC,11343,41.65%
2 .,P. NATH,M,,BJS,10845,39.82%
3 .,R. NATH,M,,IND,3331,12.23%
4 .,G. SINGH,M,,IND,1003,3.68%
5 .,K. LALL,M,,IND,711,2.61%
ELECTORS :,38934 VOTERS  : 28032,POLL PERCENTAGE  :,,72.00%,VALID VOTES :,27233
Constituency  :,9 . AMBALA,,,,,
1 .,F. CHAND,M,,BJS,15887,50.50%
2 .,A. G. KHAN,M,,INC,8973,28.52%
3 .,J. SINGH,M,,IND,6149,19.54%
4 .,J. SINGH,M,,IND,452,1.44%
ELECTORS :,45123 VOTERS  : 32371,POLL PERCENTAGE  :,,71.74%,VALID VOTES :,31461
Constituency  :,10 . SHAHABAD,,,,,
1 .,J. CHANDER,M,,INC,11074,34.75%
2 .,K. CHAND,M,,BJS,10778,33.83%
3 .,S. SINGH,M,,IND,8664,27.19%
4 .,K. RAM,M,,IND,896,2.81%
5 .,S. LAL,M,,IND,452,1.42%
ELECTORS :,44788 VOTERS  : 34135,POLL PERCENTAGE  :,,76.21%,VALID VOTES :,31864
Constituency  :,11 . THANESAR,,,,,
1 .,D. PRAKASH,M,,INC,18659,52.49%
2 .,B. SINGH,M,,BJS,14822,41.69%
3 .,K. RAM,M,,IND,843,2.37%
4 .,A. RAM,M,,IND,793,2.23%
5 .,S. SAWARUP,M,,SSP,434,1.22%
ELECTORS :,48691 VOTERS  : 37770,POLL PERCENTAGE  :,,77.57%,VALID VOTES :,35551
Constituency  :,12 . BABAIN (SC),,,,,
1 .,C. RAM,M,,INC,21884,60.76%
2 .,R. DIA,M,,BJS,11724,32.55%
3 .,J. R. SARUP,M,,IND,2407,6.68%
