No.,CANDIDATE,SEX,PARTY,VOTES,%
Constituency,1 KALKA,,,,
1 .,KISHORI LAL,M,INC,22173,49.95%
2 .,LACHMAN SINGH,M,IND,20565,46.33%
3 .,JUMMA RAM,M,IND,968,2.18%
4 .,SHAKTI PRASAD,M,IND,686,1.55%
ELECTORS :,62359 VOTERS  :,45598 POLL PERCENTAGE  :,73.12%,VALID VOTES,44392
Constituency,2 NARAINGARH,,,,
1 .,JAGJIT SINGH,M,INC,21818,51.23%
2 .,SADH RAM,M,IND,14556,34.18%
3 .,BALWANT,M,IND,3688,8.66%
4 .,NAND LAL,M,IND,1717,4.03%
5 .,MEET SINGH,M,IND,810,1.90%
ELECTORS :,64216 VOTERS  :,44131 POLL PERCENTAGE  :,68.72%,VALID VOTES,42589
Constituency,3 CHHACHHRAULI (SC),,,,
1 .,PARBHU RAM,M,INC,19793,50.45%
2 .,DES RAJ,M,CPI,16313,41.58%
3 .,TELU,M,IND,1436,3.66%
4 .,ITAVARI LAL,M,IND,938,2.39%
5 .,RATTNA,M,IND,752,1.92%
ELECTORS :,66648 VOTERS  :,40731 POLL PERCENTAGE  :,61.11%,VALID VOTES,39232
Constituency,4 JAGADHRI,,,,
1 .,OM PRAKASH,M,IND,16618,40.75%
2 .,SADHU RAM,M,INC,12439,30.50%
3 .,BRIJ MOHAN,M,BJS,7977,19.56%
4 .,MANGAL RAM,M,IND,1085,2.66%
5 .,RATTAN LAL,M,IND,852,2.09%
6 .,SUMER CHAND,M,RPK,774,1.90%
7 .,SAMEY SINGH,M,IND,471,1.16%
8 .,SHER SINGH,M,IND,295,0.72%
9 .,HARNAM SINGH,M,IND,266,0.65%
ELECTORS :,55970 VOTERS  :,42270 POLL PERCENTAGE  :,75.52%,VALID VOTES,40777
Constituency,5 YAMUNA NAGAR,,,,
1 .,GARISH CHANDER,M,INC,18565,39.68%
2 .,MALIK CHAND GHAMBIR,M,BJS,16147,34.51%
3 .,BALBIR SINGH,M,CPI,6787,14.51%
4 .,TULSI DASS,M,IND,2676,5.72%
5 .,BABU RAM,M,IND,2347,5.02%
6 .,SURJIT SINGH,M,IND,268,0.57%
ELECTORS :,67969 VOTERS  :,47900 POLL PERCENTAGE  :,70.47%,VALID VOTES,46790
Constituency,6 MULLANA (SC),,,,
1 .,PHOOL CHAND,M,INC,24140,64.93%
2 .,SURAJ BHAN,M,BJS,13041,35.07%
No.,CANDIDATE,SEX,,PARTY,VOTES,%
ELECTORS :,61451 VOTERS  : 38822,POLL PERCENTAGE  :,,63.18%,VALID VOTES,37181
Constituency,7 NAGGAL,,,,,
1 .,HARMOHINDER SINGH CHATHA,M,,INC,23125,59.95%
2 .,MOHINDER SINGH,M,,IND,13015,33.74%
3 .,SHAMSHER SINGH,M,,IND,1858,4.82%
4 .,ACHCHARI LAL,M,,SOP,576,1.49%
ELECTORS :,55297 VOTERS  : 39874,POLL PERCENTAGE  :,,72.11%,VALID VOTES,38574
Constituency,8 AMBALA CANTONMENT,,,,,
1 .,HANS RAJ SURI,M,,INC,15687,56.57%
2 .,BHAGWAN DASS,M,,BJS,11175,40.30%
3 .,VIRENDER KUMAR SYAL,M,,IND,616,2.22%
4 .,HARI RAM,M,,IND,250,0.90%
ELECTORS :,39893 VOTERS  : 28324,POLL PERCENTAGE  :,,71.00%,VALID VOTES,27728
Constituency,9 AMBALA,,,,,
1 .,LAKHWATI JAIN,M,,INC,16932,50.67%
2 .,LAXMI NARAIN,M,,BJS,16170,48.39%
3 .,RAJA RAM,M,,IND,316,0.95%
ELECTORS :,49123 VOTERS  : 34087,POLL PERCENTAGE  :,,69.39%,VALID VOTES,33418
Constituency,10 SHAHABAD,,,,,
1 .,AMIR CHAND,M,,INC,14735,38.42%
2 .,HARNAM SINGH,M,,CPI,14224,37.09%
3 .,SANTOKH SINGH,M,,BJS,8263,21.55%
4 .,DALEEP SINGH,M,,IND,655,1.71%
5 .,JAGJIT SINGH,M,,NCO,474,1.24%
ELECTORS :,51287 VOTERS  : 39226,POLL PERCENTAGE  :,,76.48%,VALID VOTES,38351
Constituency,11 THANESAR,,,,,
1 .,OM PARKASH,M,,INC,20657,47.96%
2 .,RAM SARAN DAS,M,,BJS,18454,42.85%
3 .,MUTHRA,M,,IND,2189,5.08%
4 .,MIHAN SINGH,M,,NCO,1584,3.68%
5 .,ISHAK LAL,M,,IND,183,0.42%
ELECTORS :,58342 VOTERS  : 44285,POLL PERCENTAGE  :,,75.91%,VALID VOTES,43067
Constituency,12 BABAIN (SC),,,,,
1 .,CHAND RAM,M,,IND,15728,42.55%
2 .,ULSI RAM,M,,INC,15584,42.16%
3 .,MANGA,M,,IND,3594,9.72%
