Constituency,1 KALKA,,,,
1 .,LACHHMAN SINGH,M,IND,22544,39.68%
2 .,SUKHDEV SINGH,M,INC,15006,26.41%
3 .,ANOKH SINGH,M,IND,7460,13.13%
4 .,ROOP LAL,M,JNP,4617,8.13%
5 .,RAM GOPAL,M,LKD,2093,3.68%
6 .,ABHEY SINGH,M,CPI,1652,2.91%
7 .,SOHAN LAL,M,IND,1384,2.44%
8 .,SARWAN DASS,M,IND,848,1.49%
9 .,RAM KUMAR,M,IND,418,0.74%
10 .,PARAS RAM,M,IND,351,0.62%
11 .,JAGAT RAM,M,IND,188,0.33%
12 .,NIRMALA,F,IND,135,0.24%
13 .,SHAKTI PRASAD,M,IND,114,0.20%
ELECTORS :,80671 VOTERS  :,57792 POLL PERCENTAGE  :,71.64%,VALID VOTES,56810
Constituency,2 NARAINGARH,,,,
1 .,LAL SINGH,M,IND,18091,34.63%
2 .,JAGJIT SINGH,M,INC,13842,26.50%
3 .,BHARAT BHUSHAN,M,BJP,8822,16.89%
4 .,SADHU RAM,M,IND,4809,9.21%
5 .,AMAN KUMAR,M,IND,3550,6.80%
6 .,KANTA RAM,M,IND,2352,4.50%
7 .,OM PRAKASH SEN,M,IND,276,0.53%
8 .,OM PRAKASH,M,IND,200,0.38%
9 .,BAL RAJ KISHAN,M,IND,161,0.31%
10 .,HEM RAJ,M,IND,135,0.26%
ELECTORS :,71209 VOTERS  :,53265 POLL PERCENTAGE  :,74.80%,VALID VOTES,52238
Constituency,3 SADHAURA (SC),,,,
1 .,BHAGMAL,M,BJP,20981,40.08%
2 .,PARBHU RAM,M,INC,20971,40.06%
3 .,KARAM CHAND,M,CPI,5674,10.84%
4 .,FAQIR CHAND,M,IND,1003,1.92%
5 .,RAMJI DASS,M,IND,942,1.80%
6 .,HARDYAL SINGH,M,JNP,856,1.64%
7 .,DARSHAL LAL,M,IND,660,1.26%
8 .,BABU RAM,M,IND,385,0.74%
9 .,RANJIT SINGH,M,IND,224,0.43%
10 .,BALI DEVI,F,IND,207,0.40%
11 .,KARAM CHAND,M,IND,179,0.34%
12 .,BHAGWAT DAYAL,M,IND,165,0.32%
13 .,AJMER SINGH,M,IND,97,0.19%
ELECTORS :,80260 VOTERS  :,53721 POLL PERCENTAGE  :,66.93%,VALID VOTES,52344
No.,CANDIDATE,,SEX,PARTY,VOTES,%
2 .,ABDUL RASHID,,M,INC,16676,31.53%
3 .,ARJAN LAL,,M,IND,8264,15.63%
4 .,NARESH KUMAR,,M,IND,3861,7.30%
5 .,RATTAN AMOL SINGH,,M,IND,2578,4.87%
6 .,SADHU RAM,,M,IND,905,1.71%
7 .,KRISHAN DEV,,M,IND,847,1.60%
8 .,SAMER CHAND,,M,IND,566,1.07%
9 .,DHARAM  SINGH,,M,IND,509,0.96%
10 .,BABU RAM,,M,IND,279,0.53%
11 .,RANDHIR SINGH,,M,IND,264,0.50%
12 .,RAM JATTAN,,M,IND,263,0.50%
13 .,BRIJ PAL,,M,IND,198,0.37%
14 .,NATHI,,M,IND,186,0.35%
ELECTORS :,71102 VOTERS  : 54015,,POLL PERCENTAGE  :,75.97%,VALID VOTES,52889
Constituency,5 YAMUNANAGAR,,,,,
1 .,RAJESH KUMAR,,M,INC,16289,29.24%
2 .,KAMLA VERMA,,F,BJP,16226,29.13%
3 .,PREM LAL,,M,IND,5994,10.76%
4 .,JOGA SINGH,,M,IND,5204,9.34%
5 .,DEVESHWAR,,M,CPI,4477,8.04%
6 .,MAHANDAR GUPTA,,M,JNP,3571,6.41%
7 .,VIMAL KUMAR,,M,IND,1191,2.14%
8 .,SHIV LAL,,M,IND,959,1.72%
9 .,BAKHARU SINGH,,M,IND,527,0.95%
10 .,MAHESH,,M,IND,407,0.73%
11 .,RAM KISHAN,,M,IND,381,0.68%
12 .,CHANDER BHAN,,M,IND,198,0.36%
13 .,PRATAP SINGH,,M,IND,123,0.22%
14 .,ATMA RAM,,M,IND,100,0.18%
15 .,HARBAIL SINGH,,M,IND,60,0.11%
ELECTORS :,80639 VOTERS  : 56605,,POLL PERCENTAGE  :,70.20%,VALID VOTES,55707
Constituency,6 JAGADHARI,,,,,
1 .,OM PRAKASH,,M,INC,20639,41.28%
2 .,BRIJ MOHAN,,M,BJP,16656,33.31%
3 .,JUGAL KISHORE,,M,IND,4377,8.75%
4 .,SAMEY SINGH,,M,IND,1737,3.47%
5 .,RAM PARKASH,,M,JNP,1183,2.37%
6 .,MAYA RAM,,M,IND,986,1.97%
7 .,MUNSHI RAM,,M,IND,943,1.89%
8 .,HARI RAM,,M,IND,935,1.87%
9 .,RAM KISHAN,,M,IND,654,1.31%
10 .,PURAN,,M,IND,500,1.00%
11 .,KAMLESH KUMAR,,M,IND,399,0.80%
12 .,JASWAT SINGH,,M,IND,382,0.76%
13 .,SUBASH,,M,IND,282,0.56%
14 .,MADAN MOHAN,,M,IND,211,0.42%
15 .,SARBATI DEVI,,F,IND,114,0.23%
ELECTORS :,72155 VOTERS  : 50983,,POLL PERCENTAGE  :,70.66%,VALID VOTES,49998
No.,CANDIDATE SEX,,PARTY,VOTES,%
Constituency,7 MULLANA (SC),,,,
1 .,PHOOL CHAND M,,IND,32727,58.50%
2 .,SHER SINGH M,,INC,18394,32.88%
3 .,NAR SINGH M,,LKD,2046,3.66%
4 .,BALWANT SINGH M,,JNP,644,1.15%
5 .,NAND RAM M,,IND,569,1.02%
6 .,SANT RAM M,,IND,525,0.94%
7 .,DHARAM PAL M,,IND,443,0.79%
8 .,HIRDA RAM M,,IND,229,0.41%
9 .,JOGINDER RAM M,,IND,175,0.31%
10 .,RAM RATAN LAL M,,IND,138,0.25%
11 .,RAM PARSHAD M,,IND,50,0.09%
ELECTORS :,75834 VOTERS  : 57038 POLL PERCENTAGE  :,,75.21%,VALID VOTES,55940
Constituency,8 AMBALA CANTONMENT,,,,
1 .,RAM DASS DHAMIJA M,,INC,14382,35.92%
2 .,SWAMI AGNIVAISH M,,JNP,8171,20.41%
3 .,SOM PRAKASH M,,BJP,8036,20.07%
4 .,BHAGWAN DASS M,,IND,7147,17.85%
5 .,SHIV PRAKASH M,,IND,751,1.88%
6 .,AJMER SINGH M,,IND,373,0.93%
7 .,RAM LAL M,,IND,331,0.83%
8 .,OM PRAKASH M,,IND,246,0.61%
9 .,AMRJEET SINGH M,,IND,149,0.37%
10 .,HARBANS LAL M,,IND,145,0.36%
11 .,NAR SINGH M,,IND,122,0.30%
12 .,LAXMAN M,,IND,97,0.24%
13 .,JASWINDER SINGH M,,IND,93,0.23%
ELECTORS :,55145 VOTERS  : 40701 POLL PERCENTAGE  :,,73.81%,VALID VOTES,40043
Constituency,9 AMBALA CITY,,,,
1 .,SHIV PRASAD M,,BJP,21847,47.38%
2 .,SUMER CHAND M,,INC,18646,40.43%
3 .,MUNSHI RAM M,,IND,3176,6.89%
4 .,DARSHAN LAL M,,JNP,1719,3.73%
5 .,RAJINDER VERMA M,,IND,614,1.33%
6 .,GURMIT SINGH M,,IND,113,0.25%
ELECTORS :,67302 VOTERS  : 46773 POLL PERCENTAGE  :,,69.50%,VALID VOTES,46115
Constituency,10 NAGGAL,,,,
1 .,NIRMAL SINGH M,,INC,28106,53.20%
2 .,GURPAL SINGH M,,LKD,14103,26.70%
3 .,DINA NATH TANWAR M,,IND,7587,14.36%
4 .,SOHAN LAL M,,JNP,2129,4.03%
5 .,DAYA SINGH M,,IND,764,1.45%
6 .,GURDIAL SINGH M,,IND,141,0.27%
