Constituency : 1 . KALKA,,,,,
1 .  PURUSH BHAN,,M,INC,29025,32.30%
2 .  LACHHMAN SINGH,,M,HVP,24034,26.74%
3 .  NARDEV,,M,BJP,22040,24.52%
4 .  KANTI PARKASH BHALLA,,M,JP,5169,5.75%
5 .  PREM SINGH,,M,BSP,4779,5.32%
6 .  AMAR SINGH,,M,IND,1516,1.69%
7 .  KRISHAN CHAND,,M,IND,731,0.81%
8 .  JAGDISH CHAND,,M,IND,583,0.65%
9 .  PUSHPA,,F,IND,259,0.29%
10 .  OM PRAKASH,,M,IND,258,0.29%
11 .  LAJJA RAM,,M,IND,246,0.27%
12 .  KRISHAN DEV,,M,IND,218,0.24%
13 .  SURINDER KUMAR,,M,IND,208,0.23%
14 .  MAHABIR PRASAD,,M,IND,183,0.20%
15 .  SURESH KUMAR,,M,IND,162,0.18%
16 .  ROSHAN LAL,,M,IND,116,0.13%
17 .  TEJINDER MOHAN,,M,IND,84,0.09%
18 .  AMAR NATH,,M,IND,76,0.08%
19 .  VINOD KUMAR,,M,IND,72,0.08%
20 .  RAM KUMAR,,M,IND,58,0.06%
21 .  JAGBIR,,M,IND,56,0.06%
,,,,
ELECTORS : 141447 VOTERS :,,92940 POLL PERCENTAGE :,65.71%,VALID VOTES :,89873
,,,,
Constituency : 2 . NARAINGARH,,,,,
1 .  SURJEET KUMAR,,M,BSP,15407,22.44%
2 .  ASHOK KUMAR,,M,INC,10869,15.83%
3 .  BHARAT BHUSHAN,,M,BJP,9982,14.54%
4 .  JAGPAL SINGH CHAUDHRY,,M,JP,7917,11.53%
5 .  VINOD KUMAR,,M,IND,7581,11.04%
6 .  LAL SINGH,,M,IND,6403,9.32%
7 .  HATHI SINGH,,M,IND,4447,6.48%
8 .  ROSHAN LAL ARYA,,M,HVP,1756,2.56%
9 .  PREETPAL SINGH,,M,IND,1301,1.89%
10 .  JAIPAL,,M,IND,697,1.02%
11 .  BHACMAL,,M,IND,554,0.81%
12 .  RAM NATH,,M,IND,369,0.54%
13 .  RANA MAHARAJ SINGH CHAUHAN,,M,IND,360,0.52%
14 .  DHARAM CHAND,,M,IND,271,0.39%
15 .  SUKHDEV SINGH,,M,DDP,230,0.33%
16 .  JAGBIR SINGH RANA,,M,IND,222,0.32%
17 .  LAJJA RAM,,M,IND,173,0.25%
18 .  MAYARAM,,M,IND,129,0.19%
,,,,
ELECTORS : 95404 VOTERS :,,71236 POLL PERCENTAGE :,74.67%,VALID VOTES :,68668
No. CANDIDATE,,,SEX,PARTY,VOTES,%
2 . RAMJI LAL,,,M,JP,16786,22.56%
3 . SAHI RAM,,,M,BSP,10477,14.08%
4 . KRIPA RAM,,,M,INC,10082,13.55%
5 . DEEP CHAND,,,M,HVP,8559,11.50%
6 . BHAG MAL,,,M,BJP,2726,3.66%
7 . DESH RAJ,,,M,CPI,2181,2.93%
8 . MANGAT RAM,,,M,IND,1471,1.98%
9 . JAI PAL,,,M,IND,646,0.87%
10 . FAQUIR CHAND,,,M,IND,543,0.73%
11 . RAGHU NATH,,,M,IND,213,0.29%
12 . JOGINDER RAM,,,M,DDP,202,0.27%
13 . MAM RAJ ATWAL,,,M,IND,151,0.20%
14 . JAGDISH,,,M,IND,110,0.15%
15 . RAM PARSAD,,,M,IND,91,0.12%
ELECTORS :,105522 VOTERS :,79678,,POLL PERCENTAGE :,75.51%,VALID VOTES :,74397
Constituency :,4 . CHHACHHRAULI,,,,,,
1 . MOHAMAD ASLAM KHAN,,,M,INC,16916,23.70%
2 . AMAN KUMAR,,,M,BSP,16623,23.29%
3 . MAHIPAL SINGH,,,M,JP,13390,18.76%
4 . KANWAR PAL,,,M,BJP,12214,17.12%
5 . SUNIL KUMAR,,,M,JD,8556,11.99%
6 . BRAJ PAL,,,M,IND,930,1.30%
7 . KANIJ FATMA,,,F,IND,726,1.02%
8 . BARKHA RAM,,,M,IND,684,0.96%
9 . NATHI RAM,,,M,IND,436,0.61%
10 . TIRATH RAM,,,M,DDP,385,0.54%
11 . NARESH,,,M,IND,149,0.21%
12 . SAT PAL,,,M,IND,139,0.19%
13 . HARPAL SINGH,,,M,IND,135,0.19%
14 . SUMER CHAND YATRI,,,M,RPI,80,0.11%
ELECTORS :,94330 VOTERS :,74187,,POLL PERCENTAGE :,78.65%,VALID VOTES :,71363
Constituency :,5 . YAMUNANAGAR,,,,,,
1 . RAJESH KUMAR,,,M,INC,25885,33.97%
2 . KAMLA VERMA,,,F,BJP,20699,27.17%
3 . BALINDE SINGH,,,M,JP,13036,17.11%
4 . TAYUB HUSSAIN,,,M,BSP,11688,15.34%
5 . RAM DIA,,,M,HVP,2886,3.79%
6 . SUNIL KUMAR,,,M,IND,372,0.49%
7 . SRI BHAGWAN,,,M,IND,259,0.34%
8 . KRISHAN LAL,,,M,IND,205,0.27%
9 . SUBHASH CHANDER,,,M,IND,161,0.21%
10 . RAM KINKER DAS,,,M,IND,141,0.19%
11 . BALWINDER KUMAR,,,M,IND,107,0.14%
12 . RAJIV KUMAR,,,M,IND,104,0.14%
13 . HARBAIL SINGH,,,M,IND,100,0.13%
14 . BALRAJ KRISHAN,,,M,DDP,98,0.13%
15 . HARI DAWAR,,,M,IND,94,0.12%
16 . NAR SINGH,,,M,IND,90,0.12%
17 . BODH RAJ,,,M,IND,87,0.11%
ELECTORS :,101314,VOTERS :,71130,POLL PERCENTAGE :,70.21%,VALID VOTES :,68227
No. CANDIDATE,,,SEX,PARTY,VOTES,%
,,,,,,
ELECTORS :,77658 VOTERS : 50663,,,POLL PERCENTAGE :,65.24%,VALID VOTES :,49912
Constituency :,9 . AMBALA CITY,,,,,,
,,,,,,
1 . SUMER CHAND BHATT,,,M,INC,20489,32.92%
2 . FAQIR CHAND AGGARWAL,,,M,BJP,19388,31.15%
3 . SUKHDEV SINGH,,,M,YAD,10244,16.46%
4 . GIAN CHAND CHAWALA,,,M,JP,4123,6.62%
5 . ARJUN DASS LIHARSA,,,M,BSP,3537,5.68%
6 . SURJIT RAI WADHAWAN,,,M,HVP,1324,2.13%
7 . SHIV KUMAR,,,M,IND,1006,1.62%
8 . AJAY KUMAR,,,M,IND,768,1.23%
9 . SURINDER SOOD,,,M,IND,680,1.09%
10 . VARINDER KUMAR HANDA,,,M,IND,129,0.21%
11 . SWARANJIT SINGH,,,M,DDP,123,0.20%
12 . VIVEK DUTTA,,,M,IND,92,0.15%
13 . NARINDER KUMAR PURI,,,M,IND,85,0.14%
14 . BHAG SINGH MANN,,,M,IND,78,0.13%
15 . GOVERDHAN DASS,,,M,IND,64,0.10%
16 . RAGHUBIR SINGH SHASHTRI,,,M,IND,44,0.07%
17 . RAJ KUMAR LAHRI,,,M,IND,40,0.06%
18 . ROSHNI DEVI,,,F,IND,27,0.04%
ELECTORS :,93681 VOTERS : 63863,,,POLL PERCENTAGE :,68.17%,VALID VOTES :,62241
Constituency :,10 . NAGGAL,,,,,,
1 . NIRMAL SINGH,,,M,INC,31407,44.10%
2 . GURBAX SINGH,,,M,JP,20902,29.35%
3 . BHUPINDER SINGH,,,M,BSP,10383,14.58%
4 . FAQIR CHAND,,,M,BJP,3397,4.77%
5 . MOHAN SINGH,,,M,HVP,2627,3.69%
6 . PURAN LAL,,,M,IND,1408,1.98%
7 . JODH SINGH,,,M,IND,261,0.37%
8 . DEVI CHAND,,,M,IND,234,0.33%
9 . MOHINDER SINGH,,,M,DDP,174,0.24%
10 . DEVINDER SINGH,,,M,IND,152,0.21%
11 . BALJEET SINGH,,,M,IND,106,0.15%
12 . MOHINDER SINGH S/O TARLOKA,,,M,IND,100,0.14%
13 . BRIJ BALA,,,F,IND,73,0.10%
ELECTORS :,97590 VOTERS : 73397,,,POLL PERCENTAGE :,75.21%,VALID VOTES :,71224
Constituency :,11 . INDRI,,,,,,
1 . JANKI DEVI,,,F,HVP,13917,18.81%
2 . BHIM SAIN,,,M,IND,13461,18.20%
3 . PARSANI DEVI,,,F,INC,11193,15.13%
4 . JAI PARKASH,,,M,JP,10940,14.79%
5 . MAI LAL,,,M,BSP,8546,11.55%
6 . BAL KRISHAN S/O HARI SWROOP,,,M,IND,6290,8.50%
7 . NATHI RAM,,,M,IND,3266,4.42%
8 . BAL KISHAN S/O JAI NARAIN,,,M,BJP,2469,3.34%
9 . NAFE SINGH,,,M,IND,1336,1.81%
10 . SARJEET SINGH,,,M,IND,693,0.94%
11 . RAM SINGH,,,M,IND,253,0.34%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
12 . RAJ PAL,,,M,IND,219,0.30%
13 . KESHO RAM,,,M,IND,203,0.27%
14 . PREM SINGH,,,M,IND,186,0.25%
15 . GIAN CHAND,,,M,IND,166,0.22%
16 . NAND KISHOR,,,M,IND,142,0.19%
