CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
Constituency 1. Kalka,,,TOTAL ELECTORS :,122579,
1 1 PARDEEP CHAUDHARY,,M 48 GEN INLD,41545 80,41625,43.99
6 2 SATVINDER SINGH RANA,,M 52 GEN INC,20369 69,20438,21.60
10 3 BHAGAT SINGH,,M 65 GEN IND,16756 15,16771,17.72
4 4 VIJAY BANSAL,,M 45 GEN BSP,4958 17,4975,5.26
2 5 RAM GOPAL MEHTA,,M 58 GEN HJCBL,4842 12,4854,5.13
11 6 VIRANDER SINGH (BHAU),,M 57 GEN IND,2761 1,2762,2.92
5 7 VIRENDER SINGH,,M 40 GEN BJP,1953 5,1958,2.07
3 8 RAM PHAL,,M 56 GEN NCP,328 1,329,0.35
7 9 MANOJ KUMAR,,M 36 GEN IJP,322 0,322,0.34
8 10 AMIT KUMAR SHARMA,,M 42 GEN IND,321 0,321,0.34
9 11 NARINDER NATH SHARMA,,M 54 GEN IND,276 0,276,0.29
,TOTAL:,94431 200,94631,77.20
Turn Out,,,,,
Constituency 2. Panchkula,,,TOTAL ELECTORS :,143985,
3 1 DEVENDER KUMAR BANSAL,,M 43 GEN INC,29189 3,29192,35.36
5 2 YOGRAJ SINGH,,M 51 GEN INLD,16930 2,16932,20.51
2 3 GIAN CHAND,,M 61 GEN BJP,15715 2,15717,19.04
6 4 SHASHI SHARMA,,M 46 GEN HJCBL,12921 1,12922,15.65
7 5 SANJEEV BHARDWAJ,,M 47 GEN BSP,3177 0,3177,3.85
14 6 HARENDER SINGH,,M 44 GEN IND,1168 0,1168,1.41
4 7 COMRADE MEHAR CHAND,,M 65 GEN CPM,933 0,933,1.13
GOEL,,,,,
8 8 NARAYAN DASS,,M 49 SC LPSP,561 0,561,0.68
13 9 SAROJ BALA,,F 41 SC IND,492 0,492,0.60
12 10 RAM NARAYAN,,M 55 GEN IND,432 0,432,0.52
1 11 KAMAL KUMAR,,M 44 GEN NCP,346 0,346,0.42
9 12 RAJESH KUMAR,,M 41 GEN LJP,253 0,253,0.31
10 13 RAM NIWAS SHARMA,,M 55 GEN SP,241 0,241,0.29
11 14 D K SAXENA,,M 61 GEN JKNPP,185 0,185,0.22
,TOTAL:,82543 8,82551,57.33
Turn Out,,,,,
Constituency 3. Naraingarh,,,TOTAL ELECTORS :,141746,
4 1 RAM KISHAN,,M 45 GEN INC,37285 13,37298,32.14
5 2 RAM SINGH,,M 56 GEN INLD,28970 8,28978,24.97
1 3 ARJUN SINGH,,M 56 GEN BSP,15404 0,15404,13.27
11 4 RAJ KUMAR,,M 56 GEN IND,14741 1,14742,12.70
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
2 5 NAYAB SINGH,,M 39 GEN BJP,8081 1,8082,6.96
9 6 MADAN PAL,,M 49 GEN IND,4187 0,4187,3.61
3 7 BHOOM SINGH,,M 41 GEN HJCBL,3028 0,3028,2.61
10 8 MULAKH RAJ,,M 50 SC IND,2115 0,2115,1.82
13 9 SUDESH KUMAR BHARDWAJ,,M 55 GEN IND,912 0,912,0.79
12 10 SHAMSHER SINGH ARYA,,M 44 GEN IJP,519 0,519,0.45
8 11 JAGPAL SINGH,,M 46 GEN SMBHP,280 0,280,0.24
6 12 SANJEEV KUMAR,,M 39 SC NCP,272 0,272,0.23
